Region,Brand,Category,YearMonth,ActualUnits,PredUnits
Asia-Pacific,Acer,All-in-One,2025-05-01,4.0,2.68375
Asia-Pacific,Acer,All-in-One,2025-06-01,6.0,2.3704166666666664
Asia-Pacific,Acer,All-in-One,2025-07-01,2.0,3.5783333333333336
Asia-Pacific,Acer,All-in-One,2025-08-01,4.0,3.103333333333333
Asia-Pacific,Acer,All-in-One,2025-09-01,8.0,4.4855833333333335
Asia-Pacific,Acer,All-in-One,2025-10-01,2.0,4.91
Asia-Pacific,Acer,Desktop,2025-05-01,3.0,2.3141666666666665
Asia-Pacific,Acer,Desktop,2025-06-01,2.0,2.93625
Asia-Pacific,Acer,Desktop,2025-08-01,3.0,2.8699166666666667
Asia-Pacific,Acer,Desktop,2025-10-01,2.0,3.0061924603174606
Asia-Pacific,Acer,Gaming Laptop,2025-05-01,1.0,3.24
Asia-Pacific,Acer,Gaming Laptop,2025-06-01,2.0,3.506934523809523
Asia-Pacific,Acer,Gaming Laptop,2025-07-01,1.0,3.0969166666666665
Asia-Pacific,Acer,Gaming Laptop,2025-09-01,3.0,2.993452380952381
Asia-Pacific,Acer,Laptop,2025-05-01,2.0,3.0766249999999995
Asia-Pacific,Acer,Laptop,2025-06-01,3.0,4.821625
Asia-Pacific,Acer,Laptop,2025-07-01,2.0,3.821625
Asia-Pacific,Acer,Laptop,2025-09-01,4.0,3.1337499999999996
Asia-Pacific,Apple,All-in-One,2025-06-01,7.0,3.521041666666667
Asia-Pacific,Apple,All-in-One,2025-08-01,2.0,2.371875
Asia-Pacific,Apple,All-in-One,2025-09-01,2.0,4.299166666666667
Asia-Pacific,Apple,All-in-One,2025-10-01,1.0,3.22725
Asia-Pacific,Apple,Desktop,2025-05-01,5.0,3.235625
Asia-Pacific,Apple,Desktop,2025-06-01,1.0,3.565
Asia-Pacific,Apple,Desktop,2025-07-01,2.0,2.81
Asia-Pacific,Apple,Desktop,2025-08-01,1.0,4.419375
Asia-Pacific,Apple,Gaming Laptop,2025-05-01,6.0,3.2069017857142854
Asia-Pacific,Apple,Gaming Laptop,2025-06-01,2.0,2.962083333333333
Asia-Pacific,Apple,Gaming Laptop,2025-08-01,2.0,4.487916666666667
Asia-Pacific,Apple,Gaming Laptop,2025-09-01,1.0,1.9633333333333334
Asia-Pacific,Apple,Gaming Laptop,2025-10-01,4.0,4.324166666666667
Asia-Pacific,Apple,Laptop,2025-06-01,3.0,3.111875
Asia-Pacific,Apple,Laptop,2025-07-01,3.0,3.8929166666666664
Asia-Pacific,Apple,Laptop,2025-08-01,3.0,4.039333333333334
Asia-Pacific,Asus,All-in-One,2025-05-01,1.0,2.6205833333333333
Asia-Pacific,Asus,All-in-One,2025-06-01,3.0,3.01625
Asia-Pacific,Asus,All-in-One,2025-10-01,1.0,4.2017500000000005
Asia-Pacific,Asus,Desktop,2025-06-01,1.0,4.16
Asia-Pacific,Asus,Desktop,2025-08-01,3.0,3.4404583333333334
Asia-Pacific,Asus,Desktop,2025-09-01,9.0,4.322541666666667
Asia-Pacific,Asus,Gaming Laptop,2025-06-01,3.0,7.947916666666665
Asia-Pacific,Asus,Gaming Laptop,2025-07-01,1.0,3.02225
Asia-Pacific,Asus,Gaming Laptop,2025-08-01,3.0,2.817916666666666
Asia-Pacific,Asus,Gaming Laptop,2025-10-01,1.0,3.208541666666667
Asia-Pacific,Asus,Laptop,2025-05-01,5.0,3.899083333333333
Asia-Pacific,Asus,Laptop,2025-06-01,1.0,3.851273809523809
Asia-Pacific,Asus,Laptop,2025-08-01,2.0,3.236791666666667
Asia-Pacific,Asus,Laptop,2025-10-01,2.0,3.399291666666666
Asia-Pacific,Dell,All-in-One,2025-05-01,9.0,4.188125
Asia-Pacific,Dell,All-in-One,2025-06-01,2.0,3.1625
Asia-Pacific,Dell,All-in-One,2025-07-01,3.0,3.9979166666666663
Asia-Pacific,Dell,All-in-One,2025-08-01,1.0,4.888333333333333
