feature,importance
TotalAmount,0.08921690933483391
Price,0.08910084074912765
FinalPrice,0.08822276304866442
DiscountPct,0.03982856183918174
Storage_GB,0.03570570884285483
RAM_GB,0.035018426667314966
Quantity,0.02432232272813975
Region_Asia-Pacific,0.014236518594101867
Region_North America,0.01415937773083217
Channel_Reseller,0.014072017101744083
Channel_Online,0.014042299932927008
Region_Europe,0.01383932330547774
Channel_Retail Store,0.013749759587787373
Category_Laptop,0.013380968588647405
Category_Desktop,0.013303409468298845
Category_All-in-One,0.013226620230784324
PaymentMethod_Credit Card,0.01319121577447906
PaymentMethod_Debit Card,0.013020209680216248
CustomerSegment_Professional,0.012945208015366104
OS_macOS,0.012937366130735987
CustomerSegment_Enterprise,0.012853406166625928
Category_Gaming Laptop,0.012673679543433689
PaymentMethod_Bank Transfer,0.012636726262018522
CustomerSegment_Gamer,0.012417664358031577
Color_Blue,0.012399945856639304
CustomerSegment_Student,0.01238609619959415
OS_Linux,0.012368538879341858
Color_Gray,0.01225452417959365
OS_Windows 11,0.012167212396683507
Color_White,0.012114333372208973
PaymentMethod_PayPal,0.012106338759369343
GPU_Intel UHD,0.011743827962042807
Color_Black,0.011734007149955908
GPU_AMD Radeon Vega,0.01160770312423181
Color_Silver,0.011553959355469386
GPU_Intel Iris,0.011538094834372232
OS_Windows 10,0.011437019051834618
GPU_NVIDIA RTX 2060,0.011294857870092708
GPU_NVIDIA GTX 1650,0.011220184488678198
GPU_NVIDIA RTX 3060,0.01102165952146701
CPU_i5,0.00975306693920116
Brand_Asus,0.009609470743710926
CPU_i7,0.00957226601159182
CPU_i9,0.009561251332522952
CPU_M1,0.009552028549550196
CPU_Ryzen 3,0.009396193919862354
Brand_Lenovo,0.009386557835385832
Brand_MSI,0.009374206373857727
Brand_Razer,0.009160451875151701
CPU_Ryzen 9,0.009123544713601944
CPU_M2,0.009096790560216669
Brand_Microsoft,0.009092894059619041
Brand_Samsung,0.009092550806669793
Brand_Acer,0.009028787389338593
CPU_Ryzen 5,0.008996116446784762
Brand_Dell,0.00894961726588175
Brand_HP,0.00884882478639728
CPU_i3,0.008809048144826028
CPU_Ryzen 7,0.008767857132904936
Brand_Apple,0.007778868429723868
