Region,Brand,Category,CPU,GPU,RAM_GB,Storage_GB,OS,Color,Channel,PaymentMethod,Price,DiscountPct,FinalPrice,Quantity,TotalAmount,CustomerSegment,y_true,proba,pred
North America,Samsung,Desktop,i7,AMD Radeon Vega,16,512,macOS,Gray,Reseller,Credit Card,2259.17,10,2033.25,2,4066.5,Enterprise,1,0.425,1
Europe,Dell,Desktop,i5,NVIDIA RTX 3060,32,1024,macOS,Gray,Online,Debit Card,1650.15,15,1402.63,3,4207.89,Student,0,0.5125,1
Europe,Razer,Desktop,i3,AMD Radeon Vega,16,1024,macOS,Gray,Online,Credit Card,1197.07,20,957.66,2,1915.32,Student,1,0.355,1
Europe,Lenovo,Laptop,i3,NVIDIA RTX 3060,16,512,macOS,White,Reseller,Credit Card,2724.64,15,2315.94,2,4631.88,Professional,0,0.5725,1
North America,HP,Laptop,Ryzen 3,Intel Iris,32,512,Windows 10,White,Online,Debit Card,627.52,20,502.02,3,1506.06,Gamer,0,0.3625,1
Asia-Pacific,Samsung,Desktop,i9,NVIDIA GTX 1650,32,256,Windows 11,Silver,Reseller,Bank Transfer,1054.41,0,1054.41,1,1054.41,Enterprise,1,0.3725,1
Europe,MSI,Gaming Laptop,Ryzen 5,Intel UHD,32,256,macOS,Gray,Online,PayPal,1155.47,20,924.38,3,2773.14,Professional,0,0.39,1
Europe,Asus,Laptop,Ryzen 9,AMD Radeon Vega,8,1024,Windows 10,Black,Online,Bank Transfer,1397.92,10,1258.13,3,3774.39,Student,1,0.4025,1
Asia-Pacific,Acer,Laptop,Ryzen 9,Intel Iris,4,256,Windows 10,Blue,Retail Store,PayPal,2896.17,10,2606.55,3,7819.65,Gamer,0,0.4175,1
Europe,Acer,Desktop,M2,Intel UHD,8,2048,macOS,Gray,Retail Store,PayPal,1697.15,5,1612.29,2,3224.58,Enterprise,1,0.38,1
Asia-Pacific,MSI,Desktop,i7,NVIDIA RTX 2060,8,512,macOS,White,Online,Bank Transfer,2587.77,0,2587.77,3,7763.31,Professional,0,0.4425,1
Asia-Pacific,Dell,Laptop,Ryzen 5,AMD Radeon Vega,16,2048,Windows 11,Black,Retail Store,Bank Transfer,1886.35,20,1509.08,3,4527.24,Enterprise,0,0.4475,1
Europe,MSI,All-in-One,Ryzen 5,Intel Iris,32,256,Windows 10,Blue,Online,Credit Card,2509.13,0,2509.13,2,5018.26,Student,1,0.46,1
Europe,Acer,Desktop,Ryzen 9,Intel UHD,16,1024,Windows 10,Black,Reseller,Bank Transfer,909.11,20,727.29,3,2181.87,Gamer,1,0.3325,0
Europe,MSI,Gaming Laptop,i9,AMD Radeon Vega,4,256,Windows 11,Silver,Reseller,Credit Card,1495.8,10,1346.22,3,4038.66,Professional,0,0.3925,1
North America,Lenovo,Gaming Laptop,Ryzen 3,Intel Iris,32,2048,Windows 10,Gray,Reseller,Debit Card,2196.83,0,2196.83,2,4393.66,Professional,0,0.4,1
Asia-Pacific,Dell,Desktop,i3,Intel UHD,4,2048,Windows 11,Silver,Retail Store,Credit Card,981.37,20,785.1,1,785.1,Student,0,0.31,0
Europe,MSI,All-in-One,M1,Intel Iris,8,2048,macOS,Gray,Retail Store,Credit Card,2299.11,5,2184.15,2,4368.3,Professional,1,0.42,1
North America,Dell,Desktop,Ryzen 9,AMD Radeon Vega,8,256,Linux,Gray,Reseller,Credit Card,1257.94,5,1195.04,3,3585.12,Enterprise,0,0.3575,1
North America,MSI,Laptop,M2,NVIDIA RTX 2060,4,256,Windows 11,Silver,Online,Bank Transfer,1979.38,15,1682.47,1,1682.47,Professional,0,0.3525,1
Asia-Pacific,Lenovo,All-in-One,i7,NVIDIA GTX 1650,32,2048,macOS,White,Online,Bank Transfer,2930.56,10,2637.5,1,2637.5,Gamer,1,0.45,1
Europe,MSI,Laptop,Ryzen 5,NVIDIA RTX 3060,8,2048,Windows 10,Silver,Online,Credit Card,718.2,20,574.56,2,1149.12,Gamer,0,0.36,1
Europe,Razer,Desktop,M2,Intel UHD,8,1024,macOS,White,Retail Store,PayPal,1679.54,10,1511.59,1,1511.59,Gamer,0,0.4,1
North America,Microsoft,Gaming Laptop,Ryzen 7,NVIDIA RTX 3060,32,2048,macOS,White,Retail Store,PayPal,2757.28,15,2343.69,3,7031.07,Enterprise,1,0.42,1
North America,Dell,All-in-One,M2,Intel UHD,32,1024,Linux,Blue,Online,Bank Transfer,2601.98,10,2341.78,2,4683.56,Gamer,0,0.385,1
Asia-Pacific,MSI,Gaming Laptop,i9,NVIDIA RTX 2060,32,256,Windows 11,Blue,Online,Debit Card,2581.28,0,2581.28,3,7743.84,Professional,1,0.4275,1
Asia-Pacific,Lenovo,All-in-One,i7,Intel Iris,4,1024,Windows 10,Blue,Online,Bank Transfer,2930.78,10,2637.7,2,5275.4,Enterprise,0,0.2825,0
North America,Microsoft,Gaming Laptop,i5,NVIDIA GTX 1650,32,2048,macOS,Black,Online,Bank Transfer,1016.03,5,965.23,2,1930.46,Professional,1,0.36,1
North America,Razer,Desktop,M2,AMD Radeon Vega,4,2048,Windows 11,Black,Retail Store,Credit Card,2986.18,5,2836.87,3,8510.61,Student,1,0.48,1
Asia-Pacific,MSI,Laptop,Ryzen 7,NVIDIA GTX 1650,4,1024,Windows 10,White,Reseller,Credit Card,2791.76,0,2791.76,2,5583.52,Professional,1,0.3925,1
Europe,Razer,Laptop,i3,Intel UHD,32,1024,Linux,Silver,Online,Bank Transfer,1733.99,5,1647.29,2,3294.58,Gamer,1,0.3975,1
Europe,Lenovo,Desktop,M1,Intel UHD,8,1024,macOS,White,Retail Store,Debit Card,990.14,0,990.14,1,990.14,Professional,1,0.2875,0
North America,Samsung,Desktop,M1,AMD Radeon Vega,16,1024,Windows 11,Black,Online,Debit Card,2241.49,20,1793.19,2,3586.38,Student,0,0.4075,1
North America,Samsung,Desktop,Ryzen 7,NVIDIA RTX 2060,32,256,Windows 10,Gray,Online,Credit Card,631.11,5,599.55,2,1199.1,Student,0,0.34,0
Asia-Pacific,Acer,Desktop,M1,Intel UHD,4,512,macOS,Black,Reseller,Debit Card,2842.65,0,2842.65,1,2842.65,Gamer,0,0.3625,1
Europe,MSI,Gaming Laptop,Ryzen 9,Intel Iris,16,2048,macOS,Blue,Online,Bank Transfer,1775.13,10,1597.62,2,3195.24,Professional,0,0.45,1
Europe,Razer,Gaming Laptop,i7,NVIDIA GTX 1650,16,256,Windows 10,Blue,Reseller,Bank Transfer,548.65,10,493.78,1,493.78,Gamer,0,0.345,0
Europe,MSI,Gaming Laptop,i5,AMD Radeon Vega,32,2048,Windows 10,Blue,Retail Store,PayPal,1068.65,5,1015.22,2,2030.44,Student,0,0.415,1
Europe,Acer,Laptop,Ryzen 5,Intel UHD,8,256,macOS,Black,Reseller,Credit Card,2783.84,15,2366.26,2,4732.52,Professional,1,0.375,1
North America,Acer,Laptop,i9,NVIDIA RTX 3060,8,512,Windows 11,White,Online,Credit Card,664.7,10,598.23,3,1794.69,Gamer,1,0.3725,1
North America,MSI,Gaming Laptop,i5,NVIDIA GTX 1650,8,256,Linux,White,Retail Store,PayPal,856.27,15,727.83,2,1455.66,Gamer,1,0.28,0
Asia-Pacific,Razer,Gaming Laptop,M1,NVIDIA RTX 3060,16,1024,macOS,Silver,Reseller,PayPal,2035.28,20,1628.22,2,3256.44,Professional,0,0.4225,1
Europe,Acer,Desktop,M1,Intel Iris,4,2048,Linux,Silver,Retail Store,Debit Card,477.49,15,405.87,2,811.74,Professional,0,0.2975,0
Europe,Microsoft,Laptop,i5,AMD Radeon Vega,32,2048,Windows 11,Black,Reseller,Debit Card,1042.62,0,1042.62,1,1042.62,Gamer,1,0.3925,1
North America,HP,Desktop,Ryzen 5,NVIDIA RTX 3060,4,1024,Linux,Gray,Reseller,Bank Transfer,2871.31,20,2297.05,2,4594.1,Enterprise,0,0.36,1
Asia-Pacific,Razer,Laptop,Ryzen 9,AMD Radeon Vega,16,512,Windows 11,Blue,Reseller,Credit Card,1193.67,5,1133.99,3,3401.97,Gamer,1,0.3975,1
Europe,Microsoft,All-in-One,i9,NVIDIA RTX 3060,8,512,Windows 11,White,Retail Store,Bank Transfer,1561.03,15,1326.88,3,3980.64,Gamer,1,0.3725,1
Europe,Razer,Desktop,Ryzen 7,NVIDIA RTX 3060,32,2048,Windows 11,Black,Retail Store,Bank Transfer,825.29,15,701.5,2,1403.0,Enterprise,1,0.44,1
Europe,HP,Desktop,i3,Intel UHD,8,2048,Windows 10,Blue,Retail Store,Bank Transfer,2110.61,5,2005.08,1,2005.08,Professional,1,0.5025,1
Europe,Samsung,Desktop,Ryzen 9,NVIDIA GTX 1650,32,1024,Windows 10,Silver,Retail Store,Debit Card,961.37,15,817.16,3,2451.48,Enterprise,1,0.32,0
Europe,Apple,Gaming Laptop,i3,NVIDIA RTX 2060,8,512,macOS,Blue,Retail Store,Credit Card,2012.65,20,1610.12,1,1610.12,Gamer,0,0.325,0
Europe,Asus,Desktop,i5,Intel UHD,4,512,macOS,White,Reseller,Debit Card,2074.69,20,1659.75,3,4979.25,Enterprise,0,0.39,1
North America,Razer,Desktop,i5,Intel UHD,8,512,macOS,White,Reseller,Bank Transfer,606.22,10,545.6,2,1091.2,Student,0,0.4075,1
North America,HP,Desktop,M1,NVIDIA RTX 2060,32,256,Linux,Black,Reseller,Bank Transfer,2163.57,10,1947.21,2,3894.42,Enterprise,0,0.445,1
North America,MSI,Gaming Laptop,i7,NVIDIA RTX 2060,4,256,Linux,Black,Reseller,PayPal,1614.05,0,1614.05,2,3228.1,Professional,0,0.3625,1
Asia-Pacific,HP,Gaming Laptop,M2,NVIDIA RTX 2060,32,512,Windows 10,White,Retail Store,Bank Transfer,442.5,20,354.0,2,708.0,Student,1,0.3325,0
Europe,Apple,Desktop,M1,AMD Radeon Vega,8,2048,macOS,Black,Online,Debit Card,1142.47,20,913.98,1,913.98,Enterprise,0,0.5325,1
Europe,Dell,Gaming Laptop,i3,NVIDIA RTX 2060,8,1024,Windows 10,Gray,Online,Bank Transfer,2546.22,0,2546.22,1,2546.22,Enterprise,0,0.345,0
North America,Asus,Gaming Laptop,M1,Intel Iris,8,512,Windows 11,Gray,Online,PayPal,832.69,5,791.06,1,791.06,Student,1,0.4425,1
North America,Dell,All-in-One,i9,Intel UHD,8,2048,Linux,Silver,Reseller,Debit Card,1190.36,5,1130.84,1,1130.84,Student,0,0.345,0
Asia-Pacific,Asus,All-in-One,Ryzen 5,NVIDIA RTX 2060,16,256,macOS,Black,Reseller,Bank Transfer,1383.1,0,1383.1,2,2766.2,Student,0,0.4,1
Asia-Pacific,Asus,Laptop,i3,NVIDIA GTX 1650,4,2048,Linux,Black,Retail Store,PayPal,1043.09,5,990.94,3,2972.82,Enterprise,0,0.37,1
Asia-Pacific,MSI,All-in-One,Ryzen 9,NVIDIA GTX 1650,8,256,macOS,Silver,Retail Store,Debit Card,607.75,20,486.2,1,486.2,Professional,0,0.35,1
Europe,MSI,All-in-One,Ryzen 7,NVIDIA RTX 3060,16,1024,macOS,Silver,Reseller,Debit Card,2507.28,5,2381.92,2,4763.84,Student,0,0.3875,1
