Brand,CPU,proba
Dell,i5,0.45847222222222217
Dell,i3,0.4388157894736842
Lenovo,i3,0.43864583333333335
Dell,Ryzen 3,0.433375
Apple,Ryzen 5,0.42308823529411765
Dell,M1,0.42171875
Apple,i5,0.42000000000000004
Dell,Ryzen 5,0.41880434782608694
Razer,M1,0.4172619047619047
Dell,i9,0.4163095238095238
Razer,i3,0.412875
HP,i3,0.41239130434782606
Razer,i7,0.41178571428571425
Dell,i7,0.4115625
Razer,M2,0.4113157894736842
MSI,M1,0.41078125
MSI,Ryzen 3,0.41015625
Apple,i3,0.41
Samsung,Ryzen 3,0.4096666666666666
Razer,Ryzen 5,0.40930555555555553
HP,M1,0.4084375
Samsung,i5,0.40842105263157896
Microsoft,Ryzen 3,0.4081521739130434
Asus,Ryzen 5,0.4076666666666667
Dell,M2,0.40650000000000003
