Region,Brand,TotalAmount_sum,TotalAmount_mean,FinalPrice_mean,Quantity_sum,Quantity_mean
Asia-Pacific,Acer,980684.01,3026.8025000000002,1597.976574074074,629,1.941358024691358
Asia-Pacific,Apple,1009692.95,3135.692391304348,1495.4728881987578,672,2.0869565217391304
Asia-Pacific,Asus,1000255.49,2985.8372835820896,1464.808089552239,684,2.0417910447761196
Asia-Pacific,Dell,999848.76,3085.952962962963,1537.3440432098766,659,2.0339506172839505
Asia-Pacific,HP,832282.4,2910.0783216783216,1490.718111888112,566,1.979020979020979
Asia-Pacific,Lenovo,988252.24,2881.201865889213,1463.232361516035,663,1.9329446064139941
Asia-Pacific,MSI,1030682.48,3161.602699386503,1589.718098159509,644,1.9754601226993864
Asia-Pacific,Microsoft,1084741.12,3181.0590029325517,1597.7646920821114,697,2.0439882697947214
Asia-Pacific,Razer,976031.21,3031.1528260869563,1502.9005279503106,649,2.015527950310559
Asia-Pacific,Samsung,986287.28,3082.14775,1581.31678125,621,1.940625
Europe,Acer,999223.21,2938.891794117647,1482.9169411764706,678,1.9941176470588236
Europe,Apple,993703.21,2957.4500297619047,1496.3155654761904,666,1.9821428571428572
Europe,Asus,1075325.34,3037.6422033898307,1545.1982485875708,691,1.9519774011299436
Europe,Dell,1028292.98,3033.3126253687315,1578.8634218289085,644,1.8997050147492625
Europe,HP,1135628.57,3244.6530571428575,1561.9306,720,2.057142857142857
Europe,Lenovo,1112423.85,3124.786095505618,1563.2746348314606,706,1.9831460674157304
Europe,MSI,1072908.35,2980.3009722222223,1541.3349722222222,705,1.9583333333333333
Europe,Microsoft,1151271.84,3111.545513513514,1530.2618108108109,750,2.027027027027027
Europe,Razer,1027103.41,2968.5069653179194,1538.7317052023122,665,1.9219653179190752
Europe,Samsung,997972.54,3033.3511854103344,1517.0112158054712,661,2.0091185410334345
North America,Acer,1100957.19,3092.576376404494,1550.6844382022473,711,1.997191011235955
North America,Apple,1036982.43,3210.471919504644,1579.0185758513933,656,2.0309597523219813
North America,Asus,956780.41,3076.464340836013,1522.0660450160772,633,2.035369774919614
North America,Dell,998659.16,2998.9764564564566,1507.4663663663664,666,2.0
North America,HP,962810.84,3027.7070440251573,1498.4649371069181,639,2.009433962264151
North America,Lenovo,1017130.82,3036.2114029850745,1553.1254029850747,657,1.9611940298507462
North America,MSI,1006356.27,3086.9824233128834,1535.5022392638036,659,2.021472392638037
North America,Microsoft,961597.47,3023.8914150943397,1502.5130188679245,629,1.9779874213836477
North America,Razer,951867.08,2858.4596996996997,1515.6016816816816,639,1.9189189189189189
North America,Samsung,1014268.12,3130.4571604938274,1584.3518209876543,638,1.9691358024691359
