Region,Brand,Category,YearMonth,ActualUnits,PredUnits
Asia-Pacific,Acer,All-in-One,2025-05-01,4.0,2.998125
Asia-Pacific,Acer,All-in-One,2025-06-01,6.0,3.58875
Asia-Pacific,Acer,All-in-One,2025-07-01,2.0,2.8
Asia-Pacific,Acer,All-in-One,2025-08-01,4.0,2.99875
Asia-Pacific,Acer,All-in-One,2025-09-01,8.0,3.4955000000000003
Asia-Pacific,Acer,All-in-One,2025-10-01,2.0,4.44
Asia-Pacific,Acer,Desktop,2025-05-01,3.0,2.752083333333333
Asia-Pacific,Acer,Desktop,2025-06-01,2.0,3.4395476190476195
Asia-Pacific,Acer,Desktop,2025-08-01,3.0,3.5580416666666665
Asia-Pacific,Acer,Desktop,2025-10-01,2.0,2.8577643398268395
Asia-Pacific,Acer,Gaming Laptop,2025-05-01,1.0,3.243333333333333
Asia-Pacific,Acer,Gaming Laptop,2025-06-01,2.0,1.5680833333333333
Asia-Pacific,Acer,Gaming Laptop,2025-07-01,1.0,4.096294642857143
Asia-Pacific,Acer,Gaming Laptop,2025-09-01,3.0,3.8672321428571426
Asia-Pacific,Acer,Laptop,2025-05-01,2.0,3.4425
Asia-Pacific,Acer,Laptop,2025-06-01,3.0,4.269041666666667
Asia-Pacific,Acer,Laptop,2025-07-01,2.0,3.8836666666666666
Asia-Pacific,Acer,Laptop,2025-09-01,4.0,3.1602738095238094
Asia-Pacific,Apple,All-in-One,2025-06-01,7.0,3.0636666666666668
Asia-Pacific,Apple,All-in-One,2025-08-01,2.0,3.115
Asia-Pacific,Apple,All-in-One,2025-09-01,2.0,3.3389583333333337
Asia-Pacific,Apple,All-in-One,2025-10-01,1.0,2.85875
Asia-Pacific,Apple,Desktop,2025-05-01,5.0,3.63
Asia-Pacific,Apple,Desktop,2025-06-01,1.0,4.9075
Asia-Pacific,Apple,Desktop,2025-07-01,2.0,4.215
Asia-Pacific,Apple,Desktop,2025-08-01,1.0,3.5302500000000006
Asia-Pacific,Apple,Gaming Laptop,2025-05-01,6.0,2.9935234834609834
Asia-Pacific,Apple,Gaming Laptop,2025-06-01,2.0,3.3605833333333335
Asia-Pacific,Apple,Gaming Laptop,2025-08-01,2.0,3.380625
Asia-Pacific,Apple,Gaming Laptop,2025-09-01,1.0,3.2624999999999993
Asia-Pacific,Apple,Gaming Laptop,2025-10-01,4.0,3.430958333333333
Asia-Pacific,Apple,Laptop,2025-06-01,3.0,2.6994166666666666
Asia-Pacific,Apple,Laptop,2025-07-01,3.0,2.60275
Asia-Pacific,Apple,Laptop,2025-08-01,3.0,4.808696428571428
Asia-Pacific,Asus,All-in-One,2025-05-01,1.0,2.5427083333333336
Asia-Pacific,Asus,All-in-One,2025-06-01,3.0,3.935833333333333
Asia-Pacific,Asus,All-in-One,2025-10-01,1.0,2.4876666666666667
Asia-Pacific,Asus,Desktop,2025-06-01,1.0,2.76125
Asia-Pacific,Asus,Desktop,2025-08-01,3.0,5.396041666666667
Asia-Pacific,Asus,Desktop,2025-09-01,9.0,2.3672916666666666
Asia-Pacific,Asus,Gaming Laptop,2025-06-01,3.0,3.984916666666667
Asia-Pacific,Asus,Gaming Laptop,2025-07-01,1.0,2.0783630952380956
Asia-Pacific,Asus,Gaming Laptop,2025-08-01,3.0,3.645
Asia-Pacific,Asus,Gaming Laptop,2025-10-01,1.0,2.21075
Asia-Pacific,Asus,Laptop,2025-05-01,5.0,3.740125
Asia-Pacific,Asus,Laptop,2025-06-01,1.0,3.8082916666666664
Asia-Pacific,Asus,Laptop,2025-08-01,2.0,3.6615833333333336
Asia-Pacific,Asus,Laptop,2025-10-01,2.0,3.0375
Asia-Pacific,Dell,All-in-One,2025-05-01,9.0,3.85125
Asia-Pacific,Dell,All-in-One,2025-06-01,2.0,2.8235833333333336
Asia-Pacific,Dell,All-in-One,2025-07-01,3.0,3.673125
Asia-Pacific,Dell,All-in-One,2025-08-01,1.0,4.4315
Asia-Pacific,Dell,Desktop,2025-05-01,2.0,3.5386190476190467
Asia-Pacific,Dell,Desktop,2025-06-01,3.0,2.0105
Asia-Pacific,Dell,Desktop,2025-07-01,6.0,4.050222222222223
Asia-Pacific,Dell,Desktop,2025-08-01,7.0,2.81875
Asia-Pacific,Dell,Desktop,2025-09-01,2.0,3.0075
Asia-Pacific,Dell,Desktop,2025-10-01,3.0,3.7078928571428573
Asia-Pacific,Dell,Gaming Laptop,2025-05-01,1.0,3.3162083333333334
Asia-Pacific,Dell,Gaming Laptop,2025-07-01,2.0,5.645484126984129
Asia-Pacific,Dell,Gaming Laptop,2025-09-01,4.0,3.198172619047619
Asia-Pacific,Dell,Laptop,2025-05-01,4.0,1.9742499999999998
Asia-Pacific,Dell,Laptop,2025-06-01,5.0,2.524282738095238
Asia-Pacific,Dell,Laptop,2025-08-01,4.0,3.016375
Asia-Pacific,Dell,Laptop,2025-09-01,2.0,4.782875000000001
